Country Name,Country Code,Year,Value
Cambodia,KHM,1960,637142865.7
Cambodia,KHM,1961,642857134.3
Cambodia,KHM,1962,660000008.6
Cambodia,KHM,1963,728571437.1
Cambodia,KHM,1964,782857128.6
Cambodia,KHM,1965,868571428.6
Cambodia,KHM,1966,914285714.3
Cambodia,KHM,1967,962857134.3
Cambodia,KHM,1968,1065714249
Cambodia,KHM,1969,978873232.4
Cambodia,KHM,1970,718401157.7
Cambodia,KHM,1971,969911421.4
Cambodia,KHM,1972,505549441.4
Cambodia,KHM,1973,702899156
Cambodia,KHM,1974,588443893.7
Cambodia,KHM,1993,2533727592
Cambodia,KHM,1994,2791435272
Cambodia,KHM,1995,3441205693
Cambodia,KHM,1996,3506695720
Cambodia,KHM,1997,3443413389
Cambodia,KHM,1998,3120425503
Cambodia,KHM,1999,3517242477
Cambodia,KHM,2000,3654031716
Cambodia,KHM,2001,3984000517
Cambodia,KHM,2002,4284028483
Cambodia,KHM,2003,4658246918
Cambodia,KHM,2004,5337833248
Cambodia,KHM,2005,6293046162
Cambodia,KHM,2006,7274595707
Cambodia,KHM,2007,8639235842
Cambodia,KHM,2008,10351914093
Cambodia,KHM,2009,10401851851
Cambodia,KHM,2010,11242275199
Cambodia,KHM,2011,12829541141
Cambodia,KHM,2012,14038383450
Cambodia,KHM,2013,15449630419
Cambodia,KHM,2014,16777820333
Cambodia,KHM,2015,18049954289
Cambodia,KHM,2016,20016747754
